target,INCOME_TYPE,EDUCATION_,CUSTOMER_CATEGORY_,income,DEPENDANT_NUMBER,IS_EMPL,COUNT_ACTIVE_CREDIT_NO_CC,CNT_MNTH_FROM_LAST_PMNT,age,experience,inquiry_14_day,inquiry_21_day,count_mnth_act_passport,UID
0,OTHER,elementary,Corporate,38518,0,1,1,0.4366935484,52.50127255,0.9247698181,1,1,7.3808219178,951
0,OTHER,advanced,Corporate,20316,0,1,1,0.8288530466,25.211520323,1.3594655289,0,0,5.1676847069,955
0,OTHER,elementary,Corporate,29215,0,1,0,,25.047922749,4.0904109589,,,4.8648626394,963
0,OTHER,elementary,,23800,0,0,0,6.4057123656,47.230863089,0.5765027322,0,0,2.2171644584,965
0,OTHER,elementary,,300000,0,0,,,55.077273748,1.2252189535,,,9.5950819672,966
0,OTHER,elementary,Corporate,113691,0,1,0,0.1870967742,28.128767123,1.6547945205,1,1,8.104109589,969
0,OTHER,elementary,Corporate,89211,0,1,0,0.5014560932,27.235863463,4.2349726776,0,0,7.1701100382,972
0,OTHER,elementary,,73950,0,0,1,0.6352598566,43.40157946,0.5084287746,0,0,8.9988397335,974
0,2NDFL,advanced,,28791,0,1,0,60.989852151,51.717808219,29.849315068,0,0,6.6547945205,988
0,2NDFL,advanced,,44693,0,0,1,1.1524193548,48.74420241,0.8263941912,0,0,3.7295081967,991
0,OTHER,elementary,Corporate,102762,0,1,1,0.41265681,39.527322404,7.009955835,0,1,2.0291339172,998
0,OTHER,elementary,,65000,0,0,1,0.5337365591,33.915150835,5.5562467251,0,0,9.6658357662,1002
0,2NDFL,advanced,,68174,0,0,1,1,30.307567932,5.0719514934,0,0,6.9815405345,1009
0,OTHER,high,Corporate,118591,0,1,0,1.2726702509,27.695890411,4.4650647504,0,0,7.2657534247,1012
0,OTHER,elementary,Corporate,186827,0,1,0,22.540300179,36.530705891,0.8567332884,0,0,1.1060483569,1016
0,OTHER,elementary,,100000,0,0,,,55.819178082,8.4849315068,,,10.150684932,1017
0,OTHER,elementary,Corporate,110252,0,1,0,20.410819892,27.975409836,3.1243281683,0,1,7.956284153,1018
0,OTHER,elementary,Corporate,78877,0,1,,,31.561643836,1.8273972603,,,11.419178082,1022
0,OTHER,elementary,,75000,0,0,1,0.7651657706,46.068493151,2.5397260274,1,1,1.0315293061,1024
0,2NDFL,beginner,,134724,0,0,3,0.281765233,36.423654465,7.3589041096,1,1,11.183561644,1028
0,OTHER,advanced,Corporate,36300,0,1,0,,30.84165731,5.1046710083,,,9.4882326521,1033
0,OTHER,elementary,Corporate,67184,0,1,0,0.66234319,28.710472341,3.7732240437,0,0,8.2213114754,1036
0,OTHER,elementary,,65000,0,0,2,0.5379256272,48.869608504,0.8614117823,0,0,3.8219178082,1038
0,OTHER,elementary,,121000,0,0,1,1.6691980287,39.50273224,3.1003667939,1,1,9.6702298076,1044
