Номер варианта;ID;INCOME_BASE_TYPE;CREDIT_PURPOSE;INSURANCE_FLAG;DTI;SEX;FULL_AGE_CHILD_NUMBER;DEPENDANT_NUMBER;EDUCATION;EMPL_TYPE;EMPL_SIZE;BANKACCOUNT_FLAG;Period_at_work;age;EMPL_PROPERTY;EMPL_FORM;FAMILY_STATUS;max90days;max60days;max30days;max21days;max14days;avg_num_delay;if_zalog;num_AccountActive180;num_AccountActive90;num_AccountActive60;Active_to_All_prc;numAccountActiveAll;numAccountClosed;sum_of_paym_months;all_credits;Active_not_cc;own_closed;min_MnthAfterLoan;max_MnthAfterLoan;dlq_exist;thirty_in_a_year;sixty_in_a_year;ninety_in_a_year;thirty_vintage;sixty_vintage;ninety_vintage
19;1098839;Поступление зарплаты на счет;Покупка автомобиля;1;0.4;мужской;1;0;среднее;вспомогательный персонал;>250;1;264;43;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;1098859;Свободная форма с печатью работодателя;Ремонт;1;0.48;женский;1;0;среднее-специальное;вспомогательный персонал;>250;0;28;44;Другое;ООО;женат / замужем;5;3;3;1;1;0.0168067227;0;1;1;1;0.1875;3;13;234;16;2;0;1;88;1;0;0;0;0;0;0
19;1098879;Форма банка (без печати работодателя);Ремонт;1;0.47;женский;0;0;Высшее/Второе высшее/Ученая степень;специалист;< 50;0;32;46;Другое;ООО;холост / не замужем;1;1;0;0;0;0.0425531915;1;0;0;0;0.6666666667;2;1;45;3;1;0;8;27;1;0;0;0;0;0;0
19;1098899;Форма банка (без печати работодателя);Отпуск;1;0.1;мужской;1;0;незаконченное высшее;менеджер среднего звена;< 50;0;6;43;Торговля;Иная форма;женат / замужем;0;0;0;0;0;0;0;0;0;0;1;1;0;28;1;1;0;27;27;0;0;0;0;0;0;0
19;1098919;Поступление зарплаты на счет;Ремонт;0;0.26;мужской;0;0;среднее;специалист;>250;0;167;32;Другое;ОАО;гражданский брак;0;0;0;0;0;0;0;0;0;0;0;0;4;58;4;0;2;18;92;0;0;0;0;0;0;0
19;1098939;Поступление зарплаты на счет;Ремонт;0;0.53;мужской;0;0;среднее-специальное;рабочий;>250;0;26;51;Другое;ООО;женат / замужем;1;1;1;0;0;0;0;0;0;0;0.25;1;3;22;4;0;0;14;83;0;0;0;0;0;0;0
19;1098959;2НДФЛ;Ремонт;1;0.43;мужской;0;0;высшее;менеджер среднего звена;>250;0;135;33;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;1098979;2НДФЛ;Покупка недвижимости/ строительство;0;0.46;мужской;1;0;среднее-специальное;менеджер среднего звена;>250;0;339;49;Другое;ОАО;холост / не замужем;3;3;2;1;1;0.0269230769;0;1;0;0;0.2142857143;3;11;253;14;3;2;3;68;1;0;0;0;0;0;0
19;1098999;Свободная форма с печатью работодателя;Отпуск;1;0.48;мужской;0;0;высшее;рабочий;< 50;3;102;30;Другое;ООО;холост / не замужем;2;2;2;2;2;0.09375;0;0;0;0;0.6666666667;2;1;58;3;0;0;7;65;1;0;0;0;0;0;0
19;1099019;Форма банка (без печати работодателя);Ремонт;1;0.34;женский;0;0;Высшее/Второе высшее/Ученая степень;менеджер высшего звена;< 50;0;74;29;Торговля;ООО;женат / замужем;2;0;0;0;0;0;0;0;0;0;0.3333333333;2;4;170;6;2;1;18;75;0;0;0;0;0;0;0
19;1099039;Форма банка (без печати работодателя);Покупка мебели;1;0.47;женский;0;0;высшее;менеджер среднего звена;>250;0;32;32;Другое;ООО;женат / замужем;2;0;0;0;0;0.0344827586;1;0;0;0;0.6666666667;2;1;56;3;1;0;23;43;1;0;0;0;0;0;0
